,uid,task,key,sentence_id,sp.token_text,sp.pos,sp.lemma,token
1,Y4_S9,journaling,Y4_S9_journaling,1,the,DET,the,the
2,Y4_S9,journaling,Y4_S9_journaling,1,psychiatrist,NOUN,psychiatrist,psychiatrist
3,Y4_S9,journaling,Y4_S9_journaling,1,did,AUX,do,did
4,Y4_S9,journaling,Y4_S9_journaling,1,not,PART,not,not
7,Y4_S9,journaling,Y4_S9_journaling,7,i,PRON,i,i
8,Y4_S9,journaling,Y4_S9_journaling,7,am,AUX,be,am
9,Y4_S9,journaling,Y4_S9_journaling,7,not,PART,not,not
10,Y4_S9,journaling,Y4_S9_journaling,7,completely,ADV,completely,completely
11,Y4_S9,journaling,Y4_S9_journaling,7,like,SCONJ,like,like
12,Y4_S9,journaling,Y4_S9_journaling,7,other,ADJ,other,other
13,Y4_S9,journaling,Y4_S9_journaling,7,people,NOUN,people,people
14,Y4_S9,journaling,Y4_S9_journaling,9,people,NOUN,people,people
15,Y4_S9,journaling,Y4_S9_journaling,9,dislike,VERB,dislike,dislike
16,Y4_S9,journaling,Y4_S9_journaling,9,me,PRON,-PRON-,me
17,Y4_S9,journaling,Y4_S9_journaling,9,because,SCONJ,because,because
18,Y4_S9,journaling,Y4_S9_journaling,9,i,PRON,i,i
19,Y4_S9,journaling,Y4_S9_journaling,9,am,AUX,be,am
20,Y4_S9,journaling,Y4_S9_journaling,9,not,PART,not,not
21,Y4_S9,journaling,Y4_S9_journaling,9,completely,ADV,completely,completely
22,Y4_S9,journaling,Y4_S9_journaling,9,like,SCONJ,like,like
23,Y4_S9,journaling,Y4_S9_journaling,9,them,PRON,-PRON-,them
24,Y4_S9,journaling,Y4_S9_journaling,11,i,PRON,i,i
25,Y4_S9,journaling,Y4_S9_journaling,11,am,AUX,be,am
26,Y4_S9,journaling,Y4_S9_journaling,11,trying,VERB,try,trying
27,Y4_S9,journaling,Y4_S9_journaling,11,to,PART,to,to
28,Y4_S9,journaling,Y4_S9_journaling,11,do,AUX,do,do
29,Y4_S9,journaling,Y4_S9_journaling,11,with,ADP,with,with
30,Y4_S9,journaling,Y4_S9_journaling,11,my,DET,-PRON-,my
31,Y4_S9,journaling,Y4_S9_journaling,11,life,NOUN,life,life
32,Y4_S9,journaling,Y4_S9_journaling,11,something,PRON,something,something
33,Y4_S9,journaling,Y4_S9_journaling,11,which,DET,which,which
34,Y4_S9,journaling,Y4_S9_journaling,11,few,ADJ,few,few
35,Y4_S9,journaling,Y4_S9_journaling,11,people,NOUN,people,people
36,Y4_S9,journaling,Y4_S9_journaling,11,try,VERB,try,try
37,Y4_S9,journaling,Y4_S9_journaling,11,to,PART,to,to
38,Y4_S9,journaling,Y4_S9_journaling,11,do,AUX,do,do
39,Y4_S9,journaling,Y4_S9_journaling,12,and,CCONJ,and,and
40,Y4_S9,journaling,Y4_S9_journaling,12,this,DET,this,this
41,Y4_S9,journaling,Y4_S9_journaling,12,influences,VERB,influence,influences
42,Y4_S9,journaling,Y4_S9_journaling,12,my,DET,-PRON-,my
43,Y4_S9,journaling,Y4_S9_journaling,12,thinking,NOUN,thinking,thinking
44,Y4_S9,journaling,Y4_S9_journaling,12,and,CCONJ,and,and
45,Y4_S9,journaling,Y4_S9_journaling,12,consequently,ADV,consequently,consequently
46,Y4_S9,journaling,Y4_S9_journaling,12,my,DET,-PRON-,my
47,Y4_S9,journaling,Y4_S9_journaling,12,actions,NOUN,action,actions
48,Y4_S9,journaling,Y4_S9_journaling,14,play,VERB,play,play
49,Y4_S9,journaling,Y4_S9_journaling,14,the,DET,the,the
50,Y4_S9,journaling,Y4_S9_journaling,14,piano,NOUN,piano,piano
51,Y4_S9,journaling,Y4_S9_journaling,14,for,ADP,for,for
52,Y4_S9,journaling,Y4_S9_journaling,14,people,NOUN,people,people
53,Y4_S9,journaling,Y4_S9_journaling,16,i,PRON,i,i
54,Y4_S9,journaling,Y4_S9_journaling,16,sit,VERB,sit,sit
55,Y4_S9,journaling,Y4_S9_journaling,16,differently,ADV,differently,differently
56,Y4_S9,journaling,Y4_S9_journaling,16,when,ADV,when,when
57,Y4_S9,journaling,Y4_S9_journaling,16,i,PRON,i,i
58,Y4_S9,journaling,Y4_S9_journaling,16,play,VERB,play,play
59,Y4_S9,journaling,Y4_S9_journaling,16,the,DET,the,the
60,Y4_S9,journaling,Y4_S9_journaling,16,piano,NOUN,piano,piano
61,Y4_S9,journaling,Y4_S9_journaling,16,and,CCONJ,and,and
62,Y4_S9,journaling,Y4_S9_journaling,16,when,ADV,when,when
63,Y4_S9,journaling,Y4_S9_journaling,16,i,PRON,-PRON-,i
64,Y4_S9,journaling,Y4_S9_journaling,16," ""m""",AUX,be,am
65,Y4_S9,journaling,Y4_S9_journaling,16,away,ADV,away,away
66,Y4_S9,journaling,Y4_S9_journaling,16,from,ADP,from,from
67,Y4_S9,journaling,Y4_S9_journaling,16,the,DET,the,the
68,Y4_S9,journaling,Y4_S9_journaling,16,piano,NOUN,piano,piano
69,Y4_S9,journaling,Y4_S9_journaling,16,i,PRON,i,i
70,Y4_S9,journaling,Y4_S9_journaling,16,occasionally,ADV,occasionally,occasionally
71,Y4_S9,journaling,Y4_S9_journaling,16,look,VERB,look,look
72,Y4_S9,journaling,Y4_S9_journaling,16,differently,ADV,differently,differently
73,Y4_S9,journaling,Y4_S9_journaling,16,from,ADP,from,from
74,Y4_S9,journaling,Y4_S9_journaling,16,other,ADJ,other,other
75,Y4_S9,journaling,Y4_S9_journaling,16,people,NOUN,people,people
76,Y4_S9,journaling,Y4_S9_journaling,16,and,CCONJ,and,and
77,Y4_S9,journaling,Y4_S9_journaling,16,this,DET,this,this
78,Y4_S9,journaling,Y4_S9_journaling,16,has,AUX,have,has
79,Y4_S9,journaling,Y4_S9_journaling,16,caused,VERB,cause,caused
80,Y4_S9,journaling,Y4_S9_journaling,16,dislike,NOUN,dislike,dislike
81,Y4_S9,journaling,Y4_S9_journaling,16,from,ADP,from,from
82,Y4_S9,journaling,Y4_S9_journaling,16,people,NOUN,people,people
84,Y4_S9,journaling,Y4_S9_journaling,20,i,PRON,i,i
85,Y4_S9,journaling,Y4_S9_journaling,20,can,VERB,can,can
86,Y4_S9,journaling,Y4_S9_journaling,20, not,PART,not, not
87,Y4_S9,journaling,Y4_S9_journaling,20,describe,VERB,describe,describe
88,Y4_S9,journaling,Y4_S9_journaling,20,an,DET,an,an
89,Y4_S9,journaling,Y4_S9_journaling,20,illustration,NOUN,illustration,illustration
90,Y4_S9,journaling,Y4_S9_journaling,20,of,ADP,of,of
91,Y4_S9,journaling,Y4_S9_journaling,20,how,ADV,how,how
92,Y4_S9,journaling,Y4_S9_journaling,20,i,PRON,i,i
93,Y4_S9,journaling,Y4_S9_journaling,20,sit,VERB,sit,sit
95,Y32_S38,journaling,Y32_S38_journaling,0,it,PRON,-PRON-,it
96,Y32_S38,journaling,Y32_S38_journaling,0,has,AUX,have,has
97,Y32_S38,journaling,Y32_S38_journaling,0,a,DET,a,a
98,Y32_S38,journaling,Y32_S38_journaling,0,number,NOUN,number,number
99,Y32_S38,journaling,Y32_S38_journaling,0,of,ADP,of,of
100,Y32_S38,journaling,Y32_S38_journaling,0,different,ADJ,different,different
101,Y32_S38,journaling,Y32_S38_journaling,0,purposes,NOUN,purpose,purposes
102,Y32_S38,journaling,Y32_S38_journaling,1,but,CCONJ,but,but
104,Y32_S38,journaling,Y32_S38_journaling,1,other,ADJ,other,other
105,Y32_S38,journaling,Y32_S38_journaling,1,than,SCONJ,than,than
106,Y32_S38,journaling,Y32_S38_journaling,1,a,DET,a,a
107,Y32_S38,journaling,Y32_S38_journaling,1,tribute,NOUN,tribute,tribute
108,Y32_S38,journaling,Y32_S38_journaling,1,to,ADP,to,to
109,Y32_S38,journaling,Y32_S38_journaling,1,those,DET,those,those
110,Y32_S38,journaling,Y32_S38_journaling,1,who,PRON,who,who
111,Y32_S38,journaling,Y32_S38_journaling,1,are,AUX,be,are
112,Y32_S38,journaling,Y32_S38_journaling,1,living,VERB,live,living
113,Y32_S38,journaling,Y32_S38_journaling,1,and,CCONJ,and,and
114,Y32_S38,journaling,Y32_S38_journaling,1,guaranteed,VERB,guarantee,guaranteed
115,Y32_S38,journaling,Y32_S38_journaling,1,to,ADP,to,to
116,Y32_S38,journaling,Y32_S38_journaling,1,their,DET,-PRON-,their
117,Y32_S38,journaling,Y32_S38_journaling,1,lives,NOUN,life,lives
119,Y32_S38,journaling,Y32_S38_journaling,1,you,PRON,-PRON-,you
120,Y32_S38,journaling,Y32_S38_journaling,1,know,VERB,know,know
121,Y32_S38,journaling,Y32_S38_journaling,1,because,SCONJ,because,because
122,Y32_S38,journaling,Y32_S38_journaling,1,infiltration,NOUN,infiltration,infiltration
123,Y32_S38,journaling,Y32_S38_journaling,1,among,ADP,among,among
124,Y32_S38,journaling,Y32_S38_journaling,1,the,DET,the,the
125,Y32_S38,journaling,Y32_S38_journaling,1,normal,ADJ,normal,normal
126,Y32_S38,journaling,Y32_S38_journaling,1,people,NOUN,people,people
127,Y32_S38,journaling,Y32_S38_journaling,1,was,AUX,be,was
128,Y32_S38,journaling,Y32_S38_journaling,1,heavy,ADJ,heavy,heavy
129,Y32_S38,journaling,Y32_S38_journaling,1,for,ADP,for,for
130,Y32_S38,journaling,Y32_S38_journaling,1,a,DET,a,a
131,Y32_S38,journaling,Y32_S38_journaling,1,while,NOUN,while,while
132,Y32_S38,journaling,Y32_S38_journaling,2,and,CCONJ,and,and
134,Y32_S38,journaling,Y32_S38_journaling,2,there,PRON,there,there
135,Y32_S38,journaling,Y32_S38_journaling,2,are,AUX,be,are
136,Y32_S38,journaling,Y32_S38_journaling,2,proofs,PROPN,proofs,proofs
137,Y32_S38,journaling,Y32_S38_journaling,2,that,SCONJ,that,that
139,Y32_S38,journaling,Y32_S38_journaling,2,we,PRON,-PRON-,we
140,Y32_S38,journaling,Y32_S38_journaling,2,are,AUX,be,are
141,Y32_S38,journaling,Y32_S38_journaling,2,going,VERB,go,going
142,Y32_S38,journaling,Y32_S38_journaling,2,to,ADP,to,to
143,Y32_S38,journaling,Y32_S38_journaling,2,extents,NOUN,extent,extents
144,Y32_S38,journaling,Y32_S38_journaling,2,to,PART,to,to
145,Y32_S38,journaling,Y32_S38_journaling,2,change,VERB,change,change
146,Y32_S38,journaling,Y32_S38_journaling,2,it,PRON,-PRON-,it
147,Y32_S38,journaling,Y32_S38_journaling,3,and,CCONJ,and,and
149,Y32_S38,journaling,Y32_S38_journaling,3,that,SCONJ,that,that
150,Y32_S38,journaling,Y32_S38_journaling,3,we,PRON,-PRON-,we
151,Y32_S38,journaling,Y32_S38_journaling,3,are,AUX,be,are
152,Y32_S38,journaling,Y32_S38_journaling,3,suffering,VERB,suffer,suffering
153,Y32_S38,journaling,Y32_S38_journaling,3,as,SCONJ,as,as
154,Y32_S38,journaling,Y32_S38_journaling,3,they,PRON,-PRON-,they
155,Y32_S38,journaling,Y32_S38_journaling,3,are,AUX,be,are
156,Y32_S38,journaling,Y32_S38_journaling,3,so,ADV,so,so
157,Y32_S38,journaling,Y32_S38_journaling,3,just,ADV,just,just
158,Y32_S38,journaling,Y32_S38_journaling,3,bear,VERB,bear,bear
159,Y32_S38,journaling,Y32_S38_journaling,3,with,ADP,with,with
160,Y32_S38,journaling,Y32_S38_journaling,3,it,PRON,-PRON-,it
161,Y32_S38,journaling,Y32_S38_journaling,3,and,CCONJ,and,and
162,Y32_S38,journaling,Y32_S38_journaling,3,bear,VERB,bear,bear
163,Y32_S38,journaling,Y32_S38_journaling,3,your,DET,-PRON-,your
164,Y32_S38,journaling,Y32_S38_journaling,3,torment,NOUN,torment,torment
165,Y32_S38,journaling,Y32_S38_journaling,3,and,CCONJ,and,and
166,Y32_S38,journaling,Y32_S38_journaling,3,if,SCONJ,if,if
167,Y32_S38,journaling,Y32_S38_journaling,3,you,PRON,-PRON-,you
168,Y32_S38,journaling,Y32_S38_journaling,3,can,VERB,can,can
169,Y32_S38,journaling,Y32_S38_journaling,3,help,VERB,help,help
170,Y32_S38,journaling,Y32_S38_journaling,3,someone,PRON,someone,someone
171,Y32_S38,journaling,Y32_S38_journaling,4,this,DET,this,this
172,Y32_S38,journaling,Y32_S38_journaling,4,is,AUX,be,is
